Outlet_ID,Outlet_Type,Outlet_Size,Cooler_Count,Latitude,Longitude,dominant_distributor,province,observed_mean_monthly_liters,observed_max_monthly_liters,active_months,predicted_potential_liters,headroom_liters,uplift_ratio,bill_per_liter,baseline_revenue_lkr,competitor_count_500m,competitive_intensity
OUT_00001,Grocery,Medium,1,7.089846,79.979055,DIST_W_03,Western,654.0026071461768,1941.4700014761206,23,1941.471,1287.4683928538232,1.0000005143133186,258.2478479081692,168894.765821832,4.0,0.5
OUT_00002,Hotel,Small,0,7.000558,80.012422,DIST_W_02,Western,644.7682121815216,1668.4198072724294,26,1668.42,1023.6517878184785,1.000000115515034,260.2796804395938,167820.06422421464,4.0,0.5
OUT_00003,Pharmacy,Small,1,6.80617,79.854547,DIST_W_02,Western,567.1291257537696,1790.8517259599382,26,1790.852,1223.7228742462305,1.000000153022195,275.84110389718376,156437.52410016456,3.0,0.375
OUT_00004,Pharmacy,Medium,2,6.703533,79.806919,DIST_W_01,Western,640.4241021894051,1682.090300234845,28,1682.091,1041.666897810595,1.0000004160092681,256.08626036530353,164003.81337749175,3.0,0.375
OUT_00005,Kiosk,Medium,2,7.186878,79.869831,DIST_W_03,Western,610.7113862839525,1815.7207970660115,27,1815.721,1205.0096137160476,1.0000001117649744,259.84178258165343,158688.33525493494,5.0,0.625
OUT_00006,Kiosk,Medium,1,6.957117,79.977724,DIST_W_02,Western,630.9500585085501,1559.2046589518075,23,1559.205,928.2549414914498,1.0000002187321533,249.54357438462586,157449.53285841242,1.0,0.125
OUT_00007,Hotel,Large,4,6.92525,79.803979,DIST_W_03,Western,635.4023954715698,2100.2055215172672,24,2100.206,1464.8036045284302,1.0000002278266236,249.83306210096504,158744.52612695063,4.0,0.5
OUT_00008,Eatery,Extra Large,3,6.852307,79.829302,DIST_W_01,Western,581.0325196829269,1672.9984760328575,25,2091.249,1510.2164803170729,1.250000540920354,281.441646960107,163526.74927694374,4.0,0.5
OUT_00009,Hotel,Medium,2,7.116597,79.852009,DIST_W_03,Western,624.5296851488225,1817.0550959079228,25,1817.056,1192.5263148511776,1.0000004975589785,252.7984084723688,157880.11044937192,5.0,0.625
OUT_00010,Eatery,Small,0,6.912578,79.862382,DIST_W_01,Western,602.1324012343044,1886.504494397222,28,1886.505,1284.3725987656958,1.0000002680103757,263.9005278834738,158903.05854147658,3.0,0.375
OUT_00011,Grocery,Small,1,7.169749,80.068448,DIST_W_02,Western,602.0553923965423,1779.0414077671294,26,1779.042,1176.9866076034577,1.000000332894371,282.5870842221968,170133.0778775894,3.0,0.375
OUT_00012,Pharmacy,Medium,1,6.797991,79.813568,DIST_W_02,Western,558.308335918037,1332.6850139074409,29,1332.686,774.377664081963,1.0000007399292021,263.37522888023153,147044.58575815416,3.0,0.375
OUT_00013,Hotel,Small,0,6.993376,80.089577,DIST_W_01,Western,535.6228677235306,948.2439187517826,30,948.244,412.62113227646944,1.0000000856828246,253.35921793102426,135704.99087240617,1.0,0.125
OUT_00014,Grocery,Small,1,6.707818,79.92702,DIST_W_01,Western,532.2818182722364,928.0914173773191,31,928.092,395.8101817277636,1.0000006277643236,250.54100027945609,133358.41918049377,2.0,0.25
OUT_00015,Bakery,Small,0,6.799421,80.013403,DIST_W_01,Western,618.3749971341616,1067.3550112633227,27,1067.356,448.9810028658384,1.0000009263428447,246.38724815449248,152359.71387142825,2.0,0.25
OUT_00016,Eatery,Medium,1,6.879233,79.834761,DIST_W_03,Western,555.9219861541701,1542.6560141017449,27,1542.657,986.7350138458298,1.000000639091441,286.74441930654194,159407.52709951694,10.0,1.0
OUT_00017,Eatery,Large,5,6.747705,79.911245,DIST_W_03,Western,601.7052296915865,1261.021376604317,26,1261.022,659.3167703084134,1.000000494357744,276.0399107222162,166094.6578851561,2.0,0.25
OUT_00018,Pharmacy,Small,1,7.143606,79.941664,DIST_W_02,Western,553.116462048386,903.5763763172225,29,903.577,350.460537951614,1.0000006902380294,250.72602386682348,138680.6912646766,4.0,0.5
OUT_00019,Grocery,Extra Large,4,7.060865,79.870795,DIST_W_01,Western,663.4768767600951,1734.8324565662645,26,2168.541,1505.064123239905,1.2500002474545413,250.2485054386358,166034.09680230776,1.0,0.125
OUT_00020,Smmt,Small,0,6.755445,79.931801,DIST_W_02,Western,709.2095117362275,1951.8583779802939,23,1951.859,1242.6494882637726,1.0000003186807573,258.7303836503944,183494.049060023,2.0,0.25
OUT_00021,Kiosk,Small,0,6.981638,80.008655,DIST_W_03,Western,638.731218378403,1513.3839725045946,23,1513.384,874.652781621597,1.000000018168162,255.6295614628768,163278.58124672016,3.0,0.375
OUT_00022,Bakery,Small,0,6.801531,80.082856,DIST_W_01,Western,615.6794294763895,1523.353372860469,28,1523.354,907.6745705236106,1.0000004116835544,277.6353666359566,170934.38413289396,4.0,0.5
OUT_00023,Eatery,Small,0,7.012177,79.88869,DIST_W_03,Western,619.9570546360447,1578.659998074239,27,1578.66,958.7029453639553,1.0000000012198706,258.1210061365634,160023.93870411627,3.0,0.375
OUT_00024,Eatery,Large,5,6.793285,80.067768,DIST_W_01,Western,640.33676074361,1857.5249828000656,24,1857.525,1217.1882392563903,1.000000009259598,259.57697030907514,166216.67633135337,3.0,0.375
OUT_00025,Grocery,,0,6.859002,79.833016,DIST_W_03,Western,607.2247884984137,1579.6234000170825,29,1579.624,972.3992115015864,1.000000379826557,267.53142484664244,162451.7128691817,0.0,0.0
OUT_00026,Grocery,Medium,1,6.876284,79.891434,DIST_W_01,Western,631.7819905124529,1698.866763124994,27,1698.867,1067.085009487547,1.000000139431185,264.50885700064276,167111.93218403985,7.0,0.875
OUT_00027,Pharmacy,small,1,6.811054,79.83596,DIST_W_02,Western,623.5637407497313,1316.898581154138,27,1316.899,693.3352592502686,1.0000003180547599,248.75443788014388,155114.2478126392,3.0,0.375
OUT_00028,Grocery,Small,0,6.901918,79.819468,DIST_W_03,Western,615.4972968227743,2087.7697735402207,25,2087.77,1472.2727031772256,1.0000001084697088,257.45751995883336,158464.4075813574,4.0,0.5
OUT_00029,Smmt,small,3,6.948624,79.890263,DIST_W_02,Western,529.866452145732,977.3839714235721,27,977.384,447.51754785426806,1.0000000292376678,246.86590715412385,130805.96237949327,6.0,0.75
OUT_00030,Grocery,Extra Large,4,79.923311,7.188307,DIST_W_01,Western,530.7558019960437,1759.3636958659677,29,2199.205,1668.449198003956,1.250000216082406,274.8372146122574,145871.44625988748,0.0,0.0
OUT_00031,Bakery,Small,1,7.040353,79.95928,DIST_W_03,Western,594.3174497699044,1327.4677080880886,27,1327.468,733.1505502300956,1.0000002199013278,259.1727705372435,154030.90003549517,5.0,0.625
OUT_00032,Smmt,Extra Large,5,7.036068,80.028486,DIST_W_02,Western,659.4397168238777,1754.481351922753,28,2193.102,1533.6622831761222,1.2500001767454287,254.92938239107934,168110.55973405938,5.0,0.625
OUT_00033,Hotel,Small,1,7.016153,79.990059,DIST_W_03,Western,584.5715103211941,1569.6797351534765,27,1569.68,985.108489678806,1.000000168726472,265.73001549973543,155338.19649835466,5.0,0.625
OUT_00034,Grocery,Large,5,6.775359,79.95246,DIST_W_03,Western,606.8043488511416,1493.8661977680802,27,1493.867,887.0626511488583,1.0000005370172516,260.3543445069653,157984.14848911486,3.0,0.375
OUT_00035,Bakery,Large,5,6.810121,80.013345,DIST_W_01,Western,652.8777717552539,1806.537406630221,24,1806.538,1153.6602282447461,1.0000003284569567,257.8344002334286,168334.34870625316,5.0,0.625
OUT_00036,Kiosk,Small,0,7.170262,79.919272,DIST_W_03,Western,656.7296646155637,1459.0224279930587,21,1459.023,802.2933353844362,1.0000003920480798,273.74073151175605,179773.65879733462,8.0,1.0
OUT_00037,Bakery,Large,2,6.870533,79.834042,DIST_W_03,Western,639.779050422887,1497.652795860164,25,1497.653,857.873949577113,1.000000136306517,246.32659414696965,157594.59449725214,6.0,0.75
OUT_00038,Bakery,Medium,2,6.814275,79.852486,DIST_W_03,Western,662.876776126654,1906.646369055156,26,1906.647,1243.770223873346,1.000000330918651,254.3456008947411,168599.79194310258,1.0,0.125
OUT_00039,Eatery,Medium,1,7.198127,80.089626,DIST_W_01,Western,600.5478321786613,1774.4794243054268,29,1774.48,1173.9321678213387,1.0000003244301203,273.2680692163088,164110.5465715026,2.0,0.25
OUT_00040,Smmt,Large,4,6.869515,79.904763,DIST_W_01,Western,611.0052387805149,1845.004866029393,26,1845.005,1233.9997612194852,1.0000000726126037,280.52243966406655,171400.68023023556,5.0,0.625
OUT_00041,Grocery,Large,3,7.021016,79.825242,DIST_W_03,Western,613.0697952280935,1435.60382401337,23,1435.604,822.5342047719065,1.000000122587184,284.0019515001489,174113.01825057523,4.0,0.5
